dis,year,month,mday,hour,min,sec,wday,yday
69.98915,2023,12,13,8,1,30,1,347
56.71504,2023,12,13,8,1,31,1,347
74.58535,2023,12,13,8,1,32,1,347
88.47686,2023,12,13,8,1,33,1,347
93.6047,2023,12,13,8,1,40,1,347
30.9386,2023,12,13,8,5,59,1,347
88.06525,2023,12,13,8,6,59,1,347
94.668,2023,12,13,8,7,13,1,347
96.24579,2023,12,13,8,7,14,1,347
54.03965,2023,12,13,8,7,31,1,347
37.23265,2023,12,13,8,9,24,1,347
56.68075,2023,12,13,8,10,34,1,347
60.69385,2023,12,13,8,10,37,1,347
59.2018,2023,12,13,8,10,38,1,347
51.4843,2023,12,13,8,10,39,1,347
50.4896,2023,12,13,8,10,40,1,347
18.7278,2023,12,13,8,14,39,1,347
52.08455,2023,12,13,8,17,41,1,347
50.50675,2023,12,13,8,17,48,1,347
47.9171,2023,12,13,8,17,49,1,347
57.72689,2023,12,13,8,17,50,1,347
60.83105,2023,12,13,8,17,51,1,347
76.64335,2023,12,13,8,17,52,1,347
99.72725,2023,12,13,8,27,15,1,347
31.556,2023,12,13,8,32,46,1,347
70.50365,2023,12,13,8,41,5,1,347
36.16935,2023,12,13,8,41,6,1,347
33.5797,2023,12,13,8,41,9,1,347
59.1332,2023,12,13,8,41,10,1,347
79.7475,2023,12,13,8,42,14,1,347
99.76154,2023,12,13,8,42,19,1,347
98.2352,2023,12,13,9,22,31,1,347
88.95705,2023,12,13,9,22,57,1,347
94.65085,2023,12,13,9,23,0,1,347
91.581,2023,12,13,9,23,3,1,347
